Date;Open;High;Low;Close;Volume
15.12.20 00:00;1.21453;1.21453;1.21449;1.21453;108000000
15.12.20 00:00;1.21452;1.21464;1.21449;1.21455;122000000
15.12.20 00:00;1.21454;1.21457;1.21449;1.21455;145000000
15.12.20 00:00;1.21453;1.21459;1.2145;1.21453;139000000
15.12.20 00:00;1.21453;1.21453;1.21446;1.21451;125199996
15.12.20 00:00;1.2145;1.21452;1.21449;1.21451;154449991
15.12.20 00:01;1.21451;1.21452;1.21444;1.21446;134099998
15.12.20 00:01;1.21447;1.21449;1.21442;1.21444;156349993
15.12.20 00:01;1.21444;1.21447;1.2144;1.21447;185599988
15.12.20 00:01;1.21442;1.21447;1.2144;1.21444;138399992
15.12.20 00:01;1.21444;1.21447;1.21442;1.21446;123349993
15.12.20 00:01;1.21448;1.21449;1.21445;1.21445;145299994
15.12.20 00:02;1.21447;1.21449;1.21444;1.21447;180149997
15.12.20 00:02;1.21447;1.2145;1.21445;1.21445;111000000
15.12.20 00:02;1.21445;1.21449;1.21443;1.21443;146049999
15.12.20 00:02;1.21447;1.21448;1.21444;1.21447;118149997
15.12.20 00:02;1.21447;1.21448;1.21445;1.21448;115049999
15.12.20 00:02;1.21447;1.21448;1.21441;1.21441;118099998
15.12.20 00:03;1.21441;1.21445;1.21439;1.21444;163449991
15.12.20 00:03;1.21444;1.21445;1.2144;1.21443;151299994
15.12.20 00:03;1.21441;1.21445;1.21441;1.21441;147099998
15.12.20 00:03;1.21442;1.21445;1.2144;1.21441;140249995
15.12.20 00:03;1.21443;1.21445;1.21439;1.21441;137049999
15.12.20 00:03;1.21443;1.21445;1.21441;1.21442;149199996
15.12.20 00:04;1.21442;1.21446;1.2144;1.21442;139199996
15.12.20 00:04;1.21445;1.21447;1.21443;1.21445;107099998
15.12.20 00:04;1.21446;1.21448;1.21446;1.21446;109249995
15.12.20 00:04;1.21445;1.21457;1.21445;1.21447;164199996
15.12.20 00:04;1.21448;1.21452;1.21448;1.2145;98149997
15.12.20 00:04;1.2145;1.21453;1.2145;1.21452;85149997
15.12.20 00:05;1.21452;1.21453;1.2145;1.21451;116199996
15.12.20 00:05;1.21452;1.21456;1.2145;1.21456;148299994
15.12.20 00:05;1.2146;1.21461;1.2145;1.21452;108099998
15.12.20 00:05;1.21453;1.21453;1.21451;1.21452;113199996
15.12.20 00:05;1.21452;1.21453;1.2145;1.21452;129199996
15.12.20 00:05;1.21452;1.21453;1.2145;1.21452;145299994
15.12.20 00:06;1.21452;1.21459;1.21449;1.2145;130199996
15.12.20 00:06;1.2145;1.21453;1.2145;1.2145;127249995
15.12.20 00:06;1.2145;1.21465;1.21445;1.21449;176199996
15.12.20 00:06;1.21448;1.21449;1.21447;1.21449;121349993
15.12.20 00:06;1.21449;1.2145;1.21446;1.21446;173349993
15.12.20 00:06;1.21447;1.21448;1.21445;1.21446;123049999
15.12.20 00:07;1.21446;1.21451;1.21445;1.21448;126000000
15.12.20 00:07;1.21448;1.21451;1.21445;1.21448;119049999
15.12.20 00:07;1.21448;1.2145;1.21447;1.21447;98049999
15.12.20 00:07;1.21449;1.2145;1.21446;1.21446;123049999
15.12.20 00:07;1.21448;1.2145;1.21448;1.21448;121099998
15.12.20 00:07;1.21451;1.21468;1.21449;1.21449;114049999
15.12.20 00:08;1.21452;1.21452;1.21448;1.2145;121099998
15.12.20 00:08;1.21449;1.21451;1.21446;1.21446;127000000
15.12.20 00:08;1.21447;1.21451;1.21447;1.21448;117000000
15.12.20 00:08;1.21448;1.2145;1.21447;1.21447;125099998
15.12.20 00:08;1.21448;1.21452;1.21446;1.21448;123099998
15.12.20 00:08;1.21448;1.21451;1.21448;1.21451;90099998
15.12.20 00:09;1.21448;1.21451;1.21448;1.21451;87049999
15.12.20 00:09;1.21449;1.21452;1.21448;1.21452;109249995
15.12.20 00:09;1.21448;1.21451;1.21448;1.2145;127149997
15.12.20 00:09;1.2145;1.21451;1.21447;1.21449;92199996
15.12.20 00:09;1.21448;1.21451;1.21447;1.21449;130049999
15.12.20 00:09;1.21451;1.21451;1.21448;1.21451;153199996
15.12.20 00:10;1.21449;1.21456;1.21448;1.21454;116049999
15.12.20 00:10;1.21449;1.21453;1.21447;1.21448;119049999
15.12.20 00:10;1.21448;1.21451;1.21447;1.21448;155099998
15.12.20 00:10;1.21447;1.2145;1.21446;1.2145;115000000
15.12.20 00:10;1.21456;1.21456;1.21447;1.21448;109000000
15.12.20 00:10;1.21448;1.21451;1.21448;1.2145;128000000
15.12.20 00:11;1.21451;1.21453;1.21448;1.2145;113000000
15.12.20 00:11;1.21452;1.21453;1.21449;1.2145;96000000
15.12.20 00:11;1.2145;1.21451;1.21447;1.21448;130099998
15.12.20 00:11;1.21448;1.2145;1.21446;1.21447;147000000
15.12.20 00:11;1.21448;1.2145;1.21445;1.21445;100000000
15.12.20 00:11;1.21446;1.21448;1.21445;1.21446;161000000
15.12.20 00:12;1.21447;1.21448;1.21446;1.21448;137000000
15.12.20 00:12;1.21448;1.21449;1.21445;1.21448;100000000
15.12.20 00:12;1.21448;1.21449;1.21446;1.21448;123000000
15.12.20 00:12;1.21448;1.21449;1.21446;1.21448;98000000
15.12.20 00:12;1.21448;1.21448;1.21445;1.21448;120000000
15.12.20 00:12;1.21447;1.21449;1.21446;1.21448;96000000
15.12.20 00:13;1.21449;1.21449;1.21445;1.21448;153000000
15.12.20 00:13;1.21448;1.21449;1.21445;1.21445;138000000
15.12.20 00:13;1.21448;1.21448;1.21445;1.21446;107000000
15.12.20 00:13;1.21446;1.21449;1.21445;1.21447;76000000
15.12.20 00:13;1.21448;1.21449;1.21444;1.21444;155000000
15.12.20 00:13;1.21444;1.21447;1.21441;1.21442;156000000
15.12.20 00:14;1.21442;1.21445;1.21426;1.21435;142349993
